"Daily Minimum data	   supplied by UK-air on 12/04/2020",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Cardiff Centre,,Cardiff Newport Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
13/01/1995,36,V ugm-3,No data,null
14/01/1995,13,V ugm-3,No data,null
15/01/1995,10,V ugm-3,No data,null
16/01/1995,8,V ugm-3,No data,null
17/01/1995,13,V ugm-3,No data,null
18/01/1995,10,V ugm-3,No data,null
19/01/1995,8,V ugm-3,No data,null
20/01/1995,11,V ugm-3,No data,null
21/01/1995,8,V ugm-3,No data,null
22/01/1995,10,V ugm-3,No data,null
23/01/1995,8,V ugm-3,No data,null
24/01/1995,11,V ugm-3,No data,null
25/01/1995,13,V ugm-3,No data,null
26/01/1995,10,V ugm-3,No data,null
27/01/1995,23,V ugm-3,No data,null
28/01/1995,11,V ugm-3,No data,null
29/01/1995,10,V ugm-3,No data,null
30/01/1995,21,V ugm-3,No data,null
31/01/1995,11,V ugm-3,No data,null
01/02/1995,21,V ugm-3,No data,null
02/02/1995,19,V ugm-3,No data,null
03/02/1995,10,V ugm-3,No data,null
04/02/1995,13,V ugm-3,No data,null
05/02/1995,11,V ugm-3,No data,null
06/02/1995,6,V ugm-3,No data,null
07/02/1995,11,V ugm-3,No data,null
08/02/1995,15,V ugm-3,No data,null
09/02/1995,11,V ugm-3,No data,null
10/02/1995,13,V ugm-3,No data,null
11/02/1995,19,V ugm-3,No data,null
12/02/1995,6,V ugm-3,No data,null
13/02/1995,No data,V ugm-3,No data,null
14/02/1995,No data,V ugm-3,No data,null
15/02/1995,No data,V ugm-3,No data,null
16/02/1995,No data,V ugm-3,No data,null
17/02/1995,11,V ugm-3,No data,null
18/02/1995,13,V ugm-3,No data,null
19/02/1995,11,V ugm-3,No data,null
20/02/1995,13,V ugm-3,No data,null
21/02/1995,6,V ugm-3,No data,null
22/02/1995,6,V ugm-3,No data,null
23/02/1995,10,V ugm-3,No data,null
24/02/1995,25,V ugm-3,No data,null
25/02/1995,2,V ugm-3,No data,null
26/02/1995,11,V ugm-3,No data,null
27/02/1995,8,V ugm-3,No data,null
28/02/1995,2,V ugm-3,No data,null
01/03/1995,2,V ugm-3,No data,null
02/03/1995,15,V ugm-3,No data,null
03/03/1995,25,V ugm-3,No data,null
04/03/1995,21,V ugm-3,No data,null
05/03/1995,15,V ugm-3,No data,null
06/03/1995,6,V ugm-3,No data,null
07/03/1995,10,V ugm-3,No data,null
08/03/1995,36,V ugm-3,No data,null
09/03/1995,11,V ugm-3,No data,null
10/03/1995,4,V ugm-3,No data,null
11/03/1995,15,V ugm-3,No data,null
12/03/1995,17,V ugm-3,No data,null
13/03/1995,44,V ugm-3,No data,null
14/03/1995,38,V ugm-3,No data,null
15/03/1995,15,V ugm-3,No data,null
16/03/1995,17,V ugm-3,No data,null
17/03/1995,4,V ugm-3,No data,null
18/03/1995,15,V ugm-3,No data,null
19/03/1995,17,V ugm-3,No data,null
20/03/1995,19,V ugm-3,No data,null
21/03/1995,23,V ugm-3,No data,null
22/03/1995,32,V ugm-3,No data,null
23/03/1995,23,V ugm-3,No data,null
24/03/1995,23,V ugm-3,No data,null
25/03/1995,13,V ugm-3,No data,null
26/03/1995,8,V ugm-3,No data,null
27/03/1995,6,V ugm-3,No data,null
28/03/1995,17,V ugm-3,No data,null
29/03/1995,11,V ugm-3,No data,null
30/03/1995,15,V ugm-3,No data,null
31/03/1995,2,V ugm-3,No data,null
01/04/1995,4,V ugm-3,No data,null
02/04/1995,4,V ugm-3,No data,null
03/04/1995,2,V ugm-3,No data,null
04/04/1995,21,V ugm-3,No data,null
05/04/1995,21,V ugm-3,No data,null
06/04/1995,17,V ugm-3,No data,null
07/04/1995,15,V ugm-3,No data,null
08/04/1995,17,V ugm-3,No data,null
09/04/1995,23,V ugm-3,No data,null
10/04/1995,21,V ugm-3,No data,null
